"","group1","group2","statistic","p.value","alternative","distribution","p.adjust.method","test","expression","variable","p.value.sig"
"261","batch_Kim_et_al_2022","SHIME_Ma_et_al_2022",11.0696644151083,2.41200370651713e-26,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""2.41e-26"")","Chao1","***"
"262","batch_Kim_et_al_2022","SIMGI_Zorraquin_et_al_2021",3.65865925140194,0.0169870577087141,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""0.02"")","Chao1","*"
"263","batch_Kim_et_al_2022","TIM-2_Larsen_et_al_2019",7.09292747650853,0.000000000139182533230902,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""1.39e-10"")","Chao1","***"
"264","batch_Kim_et_al_2022","TIM-2_Vieira_et_al_2021",18.0557367190729,1.0879347409447e-70,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""1.09e-70"")","Chao1","***"
"265","batch_Kim_et_al_2022","batch_Kleigrewe_et_al_2022",1.28942549615291,1,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""1.00"")","Chao1","n.s."
"266","batch_Kim_et_al_2022","batch_Korth_et_al_2022",9.49029391338941,2.94891213537002e-19,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""2.95e-19"")","Chao1","***"
"267","batch_Kim_et_al_2022","single_stage_Xu_et_al_ 2019",8.97059243622196,3.62756296898665e-17,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""3.63e-17"")","Chao1","***"
"268","batch_Kleigrewe_et_al_2022","ARCOL_Leclerc_et_al_2021",10.5503638093683,6.78050471503095e-24,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""6.78e-24"")","Chao1","***"
"269","batch_Kleigrewe_et_al_2022","Infors_Reese_et_al_2018",7.54241011330669,5.16727812004609e-12,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""5.17e-12"")","Chao1","***"
"270","batch_Kleigrewe_et_al_2022","M-ARCOL_Deschamps_et_al_2020",4.57999755333148,0.000376634909195736,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""3.77e-04"")","Chao1","***"
"271","batch_Kleigrewe_et_al_2022","M-SHIME_Abbeele_2021",10.2930682267952,9.99559607070626e-23,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""1.00e-22"")","Chao1","***"
"272","batch_Kleigrewe_et_al_2022","M-SHIME_Chassaing_et_al_2017",5.47734048632809,0.00000397224650659828,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""3.97e-06"")","Chao1","***"
"273","batch_Kleigrewe_et_al_2022","PolyFermS_Pham_et_al_2019",8.47119025037849,2.89048786749142e-15,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""2.89e-15"")","Chao1","***"
"274","batch_Kleigrewe_et_al_2022","SHIME_Firrman_et_al_2021",1.12575392411789,1,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""1.00"")","Chao1","n.s."
"275","batch_Kleigrewe_et_al_2022","SHIME_Liu_et_al_2022",2.43848997983018,0.66462113812723,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""0.66"")","Chao1","n.s."
"276","batch_Kleigrewe_et_al_2022","SHIME_Ma_et_al_2022",6.93537297695077,0.000000000421356826951947,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""4.21e-10"")","Chao1","***"
"277","batch_Kleigrewe_et_al_2022","SIMGI_Zorraquin_et_al_2021",3.06279285026889,0.120604988674813,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""0.12"")","Chao1","n.s."
"278","batch_Kleigrewe_et_al_2022","TIM-2_Larsen_et_al_2019",2.97808581184122,0.150828477444925,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""0.15"")","Chao1","n.s."
"279","batch_Kleigrewe_et_al_2022","TIM-2_Vieira_et_al_2021",11.4672541592201,2.69746902528277e-28,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""2.70e-28"")","Chao1","***"
"280","batch_Kleigrewe_et_al_2022","batch_Korth_et_al_2022",3.64191242927658,0.0178609290783707,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""0.02"")","Chao1","*"
"281","batch_Kleigrewe_et_al_2022","single_stage_Xu_et_al_ 2019",4.75197835444567,0.000169206190690801,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""1.69e-04"")","Chao1","***"
"282","batch_Korth_et_al_2022","ARCOL_Leclerc_et_al_2021",11.7140337745943,1.54462372822503e-29,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""1.54e-29"")","Chao1","***"
"283","batch_Korth_et_al_2022","Infors_Reese_et_al_2018",7.46811461338852,8.94871707785126e-12,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""8.95e-12"")","Chao1","***"
"284","batch_Korth_et_al_2022","M-ARCOL_Deschamps_et_al_2020",2.42720618806031,0.669486648738655,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""0.67"")","Chao1","n.s."
"285","batch_Korth_et_al_2022","M-SHIME_Abbeele_2021",12.6602374386818,1.423927364925e-34,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""1.42e-34"")","Chao1","***"
"286","batch_Korth_et_al_2022","M-SHIME_Chassaing_et_al_2017",4.44129162493019,0.000706422041212108,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""7.06e-04"")","Chao1","***"
"287","batch_Korth_et_al_2022","PolyFermS_Pham_et_al_2019",9.20987390421603,4.11400408972976e-18,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""4.11e-18"")","Chao1","***"
"288","batch_Korth_et_al_2022","SHIME_Firrman_et_al_2021",2.96825091533843,0.150870891890421,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""0.15"")","Chao1","n.s."
"289","batch_Korth_et_al_2022","SHIME_Liu_et_al_2022",0.0159903707935478,1,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""1.00"")","Chao1","n.s."
"290","batch_Korth_et_al_2022","SHIME_Ma_et_al_2022",6.11991494420251,0.0000000908165596295613,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""9.08e-08"")","Chao1","***"
"291","batch_Korth_et_al_2022","SIMGI_Zorraquin_et_al_2021",1.96906371159833,1,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""1.00"")","Chao1","n.s."
"292","batch_Korth_et_al_2022","TIM-2_Larsen_et_al_2019",0.942446293755897,1,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""1.00"")","Chao1","n.s."
"293","batch_Korth_et_al_2022","TIM-2_Vieira_et_al_2021",13.6946929753065,1.61647139802267e-40,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""1.62e-40"")","Chao1","***"
"294","batch_Korth_et_al_2022","single_stage_Xu_et_al_ 2019",2.73849620530305,0.296260188991663,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""0.30"")","Chao1","n.s."
"295","single_stage_Xu_et_al_ 2019","ARCOL_Leclerc_et_al_2021",7.87470223504713,3.92788614073648e-13,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""3.93e-13"")","Chao1","***"
"296","single_stage_Xu_et_al_ 2019","Infors_Reese_et_al_2018",3.84829489894494,0.00820705456244703,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""8.21e-03"")","Chao1","**"
"297","single_stage_Xu_et_al_ 2019","M-ARCOL_Deschamps_et_al_2020",0.453197396843059,1,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""1.00"")","Chao1","n.s."
"298","single_stage_Xu_et_al_ 2019","M-SHIME_Abbeele_2021",7.5018406403113,6.98499128588896e-12,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""6.98e-12"")","Chao1","***"
"299","single_stage_Xu_et_al_ 2019","M-SHIME_Chassaing_et_al_2017",0.503532363423144,1,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""1.00"")","Chao1","n.s."
"300","single_stage_Xu_et_al_ 2019","PolyFermS_Pham_et_al_2019",5.05369586708929,0.0000377007078745041,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""3.77e-05"")","Chao1","***"
"301","single_stage_Xu_et_al_ 2019","SHIME_Firrman_et_al_2021",4.30158951232168,0.00130574477523309,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""1.31e-03"")","Chao1","**"
"302","single_stage_Xu_et_al_ 2019","SHIME_Liu_et_al_2022",1.39642499274161,1,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""1.00"")","Chao1","n.s."
"303","single_stage_Xu_et_al_ 2019","SHIME_Ma_et_al_2022",3.27186407839728,0.0641045563306328,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""0.06"")","Chao1","n.s."
"304","single_stage_Xu_et_al_ 2019","SIMGI_Zorraquin_et_al_2021",1.34336969705282,1,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""1.00"")","Chao1","n.s."
"305","single_stage_Xu_et_al_ 2019","TIM-2_Larsen_et_al_2019",3.0260741346495,0.131364100352744,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""0.13"")","Chao1","n.s."
"306","single_stage_Xu_et_al_ 2019","TIM-2_Vieira_et_al_2021",9.05723993798966,1.65903399118891e-17,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""1.66e-17"")","Chao1","***"
"307","ARCOL_Leclerc_et_al_2021","M-ARCOL_Deschamps_et_al_2020",6.03205466487337,0.000000173220152074558,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""1.73e-07"")","Shannon","***"
"308","Infors_Reese_et_al_2018","ARCOL_Leclerc_et_al_2021",5.44292025047497,0.00000518899752981724,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""5.19e-06"")","Shannon","***"
"309","Infors_Reese_et_al_2018","M-ARCOL_Deschamps_et_al_2020",0.187906193313501,1,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""1.00"")","Shannon","n.s."
"310","Infors_Reese_et_al_2018","PolyFermS_Pham_et_al_2019",4.93404920941729,0.000077320447959227,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""7.73e-05"")","Shannon","***"
"311","M-SHIME_Abbeele_2021","ARCOL_Leclerc_et_al_2021",1.82104566528161,1,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""1.00"")","Shannon","n.s."
"312","M-SHIME_Abbeele_2021","Infors_Reese_et_al_2018",4.23603547331124,0.00193375724109002,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""1.93e-03"")","Shannon","**"
"313","M-SHIME_Abbeele_2021","M-ARCOL_Deschamps_et_al_2020",4.88352579835691,0.0000979531781247207,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""9.80e-05"")","Shannon","***"
"314","M-SHIME_Abbeele_2021","M-SHIME_Chassaing_et_al_2017",4.50390207616254,0.00058710923054777,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""5.87e-04"")","Shannon","***"
"315","M-SHIME_Abbeele_2021","PolyFermS_Pham_et_al_2019",9.51639103924695,2.34880118483006e-19,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""2.35e-19"")","Shannon","***"
"316","M-SHIME_Abbeele_2021","SIMGI_Zorraquin_et_al_2021",2.21906229431303,1,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""1.00"")","Shannon","n.s."
"317","M-SHIME_Abbeele_2021","TIM-2_Larsen_et_al_2019",1.87747315904938,1,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""1.00"")","Shannon","n.s."
"318","M-SHIME_Abbeele_2021","TIM-2_Vieira_et_al_2021",0.425437446031584,1,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""1.00"")","Shannon","n.s."
"319","M-SHIME_Chassaing_et_al_2017","ARCOL_Leclerc_et_al_2021",5.73235441532582,0.00000103007880631631,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""1.03e-06"")","Shannon","***"
"320","M-SHIME_Chassaing_et_al_2017","Infors_Reese_et_al_2018",0.602337157594722,1,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""1.00"")","Shannon","n.s."
"321","M-SHIME_Chassaing_et_al_2017","M-ARCOL_Deschamps_et_al_2020",0.922980119638024,1,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""1.00"")","Shannon","n.s."
"322","M-SHIME_Chassaing_et_al_2017","PolyFermS_Pham_et_al_2019",6.55471729412017,0.00000000629945457656385,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""6.30e-09"")","Shannon","***"
"323","M-SHIME_Chassaing_et_al_2017","SIMGI_Zorraquin_et_al_2021",1.14963649238973,1,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""1.00"")","Shannon","n.s."
"324","M-SHIME_Chassaing_et_al_2017","TIM-2_Larsen_et_al_2019",3.06120366355399,0.138882925633967,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""0.14"")","Shannon","n.s."
"325","M-SHIME_Chassaing_et_al_2017","TIM-2_Vieira_et_al_2021",3.53379783603711,0.0274454962500814,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""0.03"")","Shannon","*"
"326","PolyFermS_Pham_et_al_2019","ARCOL_Leclerc_et_al_2021",10.0235501206876,1.59745559134411e-21,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""1.60e-21"")","Shannon","***"
"327","PolyFermS_Pham_et_al_2019","M-ARCOL_Deschamps_et_al_2020",5.23701339424636,0.0000158299977785267,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""1.58e-05"")","Shannon","***"
"328","SHIME_Firrman_et_al_2021","ARCOL_Leclerc_et_al_2021",11.641782997287,3.58801859697021e-29,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""3.59e-29"")","Shannon","***"
"329","SHIME_Firrman_et_al_2021","Infors_Reese_et_al_2018",7.05761437320583,0.000000000198180844229769,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""1.98e-10"")","Shannon","***"
"330","SHIME_Firrman_et_al_2021","M-ARCOL_Deschamps_et_al_2020",7.46132191657325,1.02790416729319e-11,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""1.03e-11"")","Shannon","***"
"331","SHIME_Firrman_et_al_2021","M-SHIME_Abbeele_2021",11.2743006490806,2.42562265306196e-27,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""2.43e-27"")","Shannon","***"
"332","SHIME_Firrman_et_al_2021","M-SHIME_Chassaing_et_al_2017",8.73711369847127,3.06101464101756e-16,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""3.06e-16"")","Shannon","***"
"333","SHIME_Firrman_et_al_2021","PolyFermS_Pham_et_al_2019",2.60163281524736,0.505072228476154,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""0.51"")","Shannon","n.s."
"334","SHIME_Firrman_et_al_2021","SHIME_Liu_et_al_2022",1.42625508961025,1,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""1.00"")","Shannon","n.s."
"335","SHIME_Firrman_et_al_2021","SHIME_Ma_et_al_2022",10.4527359505044,1.93607072413978e-23,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""1.94e-23"")","Shannon","***"
"336","SHIME_Firrman_et_al_2021","SIMGI_Zorraquin_et_al_2021",1.30632500979784,1,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""1.00"")","Shannon","n.s."
"337","SHIME_Firrman_et_al_2021","TIM-2_Larsen_et_al_2019",10.7534000694049,7.82497053863312e-25,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""7.82e-25"")","Shannon","***"
"338","SHIME_Firrman_et_al_2021","TIM-2_Vieira_et_al_2021",10.1225422315514,5.88080156258313e-22,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""5.88e-22"")","Shannon","***"
"339","SHIME_Liu_et_al_2022","ARCOL_Leclerc_et_al_2021",7.60229352628208,3.5493206831909e-12,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""3.55e-12"")","Shannon","***"
"340","SHIME_Liu_et_al_2022","Infors_Reese_et_al_2018",3.80033448600493,0.0106930671624041,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""0.01"")","Shannon","*"
"341","SHIME_Liu_et_al_2022","M-ARCOL_Deschamps_et_al_2020",3.83993330265657,0.00923008053603867,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""9.23e-03"")","Shannon","**"
"342","SHIME_Liu_et_al_2022","M-SHIME_Abbeele_2021",6.77250451373998,0.00000000145557632799808,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""1.46e-09"")","Shannon","***"
"343","SHIME_Liu_et_al_2022","M-SHIME_Chassaing_et_al_2017",4.48879980958686,0.000623142431780233,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""6.23e-04"")","Shannon","***"
"344","SHIME_Liu_et_al_2022","PolyFermS_Pham_et_al_2019",0.435834416826219,1,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""1.00"")","Shannon","n.s."
"345","SHIME_Liu_et_al_2022","SHIME_Ma_et_al_2022",6.70666508397635,0.00000000226999715472429,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""2.27e-09"")","Shannon","***"
"346","SHIME_Liu_et_al_2022","SIMGI_Zorraquin_et_al_2021",0.642549794546344,1,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""1.00"")","Shannon","n.s."
"347","SHIME_Liu_et_al_2022","TIM-2_Larsen_et_al_2019",5.97164883166069,0.00000024661104215836,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""2.47e-07"")","Shannon","***"
"348","SHIME_Liu_et_al_2022","TIM-2_Vieira_et_al_2021",6.22113937516223,0.0000000537977648896512,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""5.38e-08"")","Shannon","***"
"349","SHIME_Ma_et_al_2022","ARCOL_Leclerc_et_al_2021",1.09576772867271,1,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""1.00"")","Shannon","n.s."
"350","SHIME_Ma_et_al_2022","Infors_Reese_et_al_2018",4.22227162415207,0.00203156017720882,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""2.03e-03"")","Shannon","**"
"351","SHIME_Ma_et_al_2022","M-ARCOL_Deschamps_et_al_2020",4.71083814495274,0.000224497097572849,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""2.24e-04"")","Shannon","***"
"352","SHIME_Ma_et_al_2022","M-SHIME_Abbeele_2021",0.579440478278074,1,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""1.00"")","Shannon","n.s."
"353","SHIME_Ma_et_al_2022","M-SHIME_Chassaing_et_al_2017",4.32205073749976,0.00132943639637921,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""1.33e-03"")","Shannon","**"
"354","SHIME_Ma_et_al_2022","PolyFermS_Pham_et_al_2019",8.74753358986775,2.81305745882117e-16,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""2.81e-16"")","Shannon","***"
"355","SHIME_Ma_et_al_2022","SIMGI_Zorraquin_et_al_2021",2.3735803727855,0.880827927706492,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""0.88"")","Shannon","n.s."
"356","SHIME_Ma_et_al_2022","TIM-2_Larsen_et_al_2019",2.1773503005225,1,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""1.00"")","Shannon","n.s."
"357","SHIME_Ma_et_al_2022","TIM-2_Vieira_et_al_2021",0.913779276341332,1,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""1.00"")","Shannon","n.s."
"358","SIMGI_Zorraquin_et_al_2021","ARCOL_Leclerc_et_al_2021",2.76912317352417,0.320382073977318,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""0.32"")","Shannon","n.s."
"359","SIMGI_Zorraquin_et_al_2021","Infors_Reese_et_al_2018",0.980201986644982,1,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""1.00"")","Shannon","n.s."
"360","SIMGI_Zorraquin_et_al_2021","M-ARCOL_Deschamps_et_al_2020",0.935308755010491,1,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""1.00"")","Shannon","n.s."
"361","SIMGI_Zorraquin_et_al_2021","PolyFermS_Pham_et_al_2019",0.486420483226044,1,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""1.00"")","Shannon","n.s."
"362","SIMGI_Zorraquin_et_al_2021","TIM-2_Larsen_et_al_2019",1.77275570216532,1,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""1.00"")","Shannon","n.s."
"363","SIMGI_Zorraquin_et_al_2021","TIM-2_Vieira_et_al_2021",2.07464673996548,1,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""1.00"")","Shannon","n.s."
"364","TIM-2_Larsen_et_al_2019","ARCOL_Leclerc_et_al_2021",3.54607262551101,0.0265892530366666,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""0.03"")","Shannon","*"
"365","TIM-2_Larsen_et_al_2019","Infors_Reese_et_al_2018",2.95924866797222,0.185034085312253,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""0.19"")","Shannon","n.s."
"366","TIM-2_Larsen_et_al_2019","M-ARCOL_Deschamps_et_al_2020",3.59296574635929,0.0225585549581959,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""0.02"")","Shannon","*"
"367","TIM-2_Larsen_et_al_2019","PolyFermS_Pham_et_al_2019",8.85661006293767,1.07229776181271e-16,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""1.07e-16"")","Shannon","***"
"368","TIM-2_Larsen_et_al_2019","TIM-2_Vieira_et_al_2021",1.21058149150349,1,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""1.00"")","Shannon","n.s."
"369","TIM-2_Vieira_et_al_2021","ARCOL_Leclerc_et_al_2021",2.07660046662447,1,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""1.00"")","Shannon","n.s."
"370","TIM-2_Vieira_et_al_2021","Infors_Reese_et_al_2018",3.49831154708158,0.0309021140212387,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""0.03"")","Shannon","*"
"371","TIM-2_Vieira_et_al_2021","M-ARCOL_Deschamps_et_al_2020",3.98612286587481,0.00510429246202907,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""5.10e-03"")","Shannon","**"
"372","TIM-2_Vieira_et_al_2021","PolyFermS_Pham_et_al_2019",8.32576158892177,1.0473535912006e-14,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""1.05e-14"")","Shannon","***"
"373","batch_Bas-Bellver_et_al_2020","ARCOL_Leclerc_et_al_2021",6.21551619677382,0.0000000552486918795276,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""5.52e-08"")","Shannon","***"
"374","batch_Bas-Bellver_et_al_2020","Infors_Reese_et_al_2018",3.6523731132564,0.0189674433707195,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""0.02"")","Shannon","*"
"375","batch_Bas-Bellver_et_al_2020","M-ARCOL_Deschamps_et_al_2020",3.63713315099813,0.019754611986997,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""0.02"")","Shannon","*"
"376","batch_Bas-Bellver_et_al_2020","M-SHIME_Abbeele_2021",5.52469654757521,0.00000333356120508507,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""3.33e-06"")","Shannon","***"
"377","batch_Bas-Bellver_et_al_2020","M-SHIME_Chassaing_et_al_2017",4.00171627532584,0.00484212021381685,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""4.84e-03"")","Shannon","**"
"378","batch_Bas-Bellver_et_al_2020","PolyFermS_Pham_et_al_2019",1.4861122892776,1,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""1.00"")","Shannon","n.s."
"379","batch_Bas-Bellver_et_al_2020","SHIME_Firrman_et_al_2021",0.245793166352173,1,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""1.00"")","Shannon","n.s."
"380","batch_Bas-Bellver_et_al_2020","SHIME_Liu_et_al_2022",1.09081248437278,1,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""1.00"")","Shannon","n.s."
"381","batch_Bas-Bellver_et_al_2020","SHIME_Ma_et_al_2022",5.62909809384895,0.00000186588987416572,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""1.87e-06"")","Shannon","***"
"382","batch_Bas-Bellver_et_al_2020","SIMGI_Zorraquin_et_al_2021",1.27069600583531,1,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""1.00"")","Shannon","n.s."
"383","batch_Bas-Bellver_et_al_2020","TIM-2_Larsen_et_al_2019",4.92947361486425,0.0000783288962861938,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""7.83e-05"")","Shannon","***"
"384","batch_Bas-Bellver_et_al_2020","TIM-2_Vieira_et_al_2021",5.24620479209412,0.000015215902504728,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""1.52e-05"")","Shannon","***"
"385","batch_Bas-Bellver_et_al_2020","batch_Elmen_et_al_2020",4.15498627297296,0.00263498728233663,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""2.63e-03"")","Shannon","**"
"386","batch_Bas-Bellver_et_al_2020","batch_Kim_et_al_2022",0.37797887407038,1,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""1.00"")","Shannon","n.s."
"387","batch_Bas-Bellver_et_al_2020","batch_Kleigrewe_et_al_2022",3.63836948478792,0.019754611986997,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""0.02"")","Shannon","*"
"388","batch_Bas-Bellver_et_al_2020","batch_Korth_et_al_2022",1.13503775183681,1,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""1.00"")","Shannon","n.s."
