"","family_GM_only","phylum_GM_only"
"280","Chelatococcaceae","Pseudomonadota"
"281","Echinimonadaceae","Pseudomonadota"
"282","Calotrichaceae","Cyanobacteriota"
"283","Pyrodictiaceae","Thermoproteota"
"284","Desulfurococcaceae","Thermoproteota"
"285","Temperatibacteraceae","Pseudomonadota"
"286","Thermithiobacillaceae","Pseudomonadota"
"287","Vallicoccaceae","Actinomycetota"
"288","Aphanizomenonaceae","Cyanobacteriota"
"289","Hoyosellaceae","Actinomycetota"
"290","Dermatophilaceae","Actinomycetota"
"291","Elioraeaceae","Pseudomonadota"
"292","Methanothermaceae","Euryarchaeota"
"293","Rhodothalassiaceae","Pseudomonadota"
"294","Natrialbaceae","Euryarchaeota"
"295","Xenococcaceae","Cyanobacteriota"
"296","Beutenbergiaceae","Actinomycetota"
"297","Thorselliaceae","Pseudomonadota"
"298","Halococcaceae","Euryarchaeota"
"299","Rarobacteraceae","Actinomycetota"
"300","Stigonemataceae","Cyanobacteriota"
"301","Natronoarchaeaceae","Euryarchaeota"
"302","Thermosynechococcaceae","Cyanobacteriota"
"303","Thermoplasmataceae","Candidatus Thermoplasmatota"
"304","Chlorogloeopsidaceae","Cyanobacteriota"
"305","Salinarimonadaceae","Pseudomonadota"
"306","Cuniculiplasmataceae","Candidatus Thermoplasmatota"
"307","Hyellaceae","Cyanobacteriota"
"308","Ruaniaceae","Actinomycetota"
"309","Thermonemataceae","Bacteroidota"
"310","Fortieaceae","Cyanobacteriota"
